Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Anchorage
Station ID: USW00026451
Downloaded: Tue Oct 11 2022 12:08:28 GMT-0600 (Mountain Daylight Time)

"Date","Maximum Temperature (degF)","Precipitation (in)","Mean Temperature (degF)","Minimum Temperature (degF)","Snowfall (in)","Snow Depth (in)"
"2011-10-29","36","0","32.5","29","0","0"
"2011-10-30","35","0.12","29","23","1.1","1"
"2011-10-31","26","0.2","20.5","15","2.3","3"
"2011-11-01","34","","28.5","23","","2"
"2011-11-02","33","0","27.5","22","0","2"
"2011-11-03","26","","22","18","0.1","2"
"2011-11-04","31","0.04","27","23","0.4","2"
"2011-11-05","31","0.09","26","21","1.1","3"
"2011-11-06","34","0.49","27","20","6.1","8"
"2011-11-07","27","0.1","23","19","2.8","10"
"2011-11-08","19","","11.5","4","","9"
"2011-11-09","18","0.14","13.5","9","1.7","10"
"2011-11-10","24","0.06","17","10","1.2","11"
"2011-11-11","21","0.19","16.5","12","3.6","14"
"2011-11-12","32","0.28","26.5","21","3.8","16"
"2011-11-13","32","0.14","27.5","23","2.2","14"
"2011-11-14","24","","13","2","","13"
"2011-11-15","13","0","9.5","6","0","12"
"2011-11-16","13","0","10.5","8","0","9"
"2011-11-17","17","0","13","9","0","9"
"2011-11-18","10","0","1.5","-7","0","9"
"2011-11-19","7","","-1","-9","","9"
"2011-11-20","11","0.04","8","5","1","10"
"2011-11-21","9","","1.5","-6","0.3","10"
"2011-11-22","11","0.04","6.5","2","1.1","11"
"2011-11-23","11","","5.5","0","0.1","10"
"2011-11-24","12","0.2","7.5","3","2.7","12"
"2011-11-25","13","0.22","9.5","6","3","14"
"2011-11-26","11","0.02","3","-5","0.2","14"
"2011-11-27","17","","8.5","0","","13"
"2011-11-28","23","0.08","16.5","10","0.5","14"
"2011-11-29","23","","16","9","","14"
"2011-11-30","27","0.05","22.5","18","0.5","14"
"2011-12-01","38","0.05","32","26","0.5","13"
"2011-12-02","37","0.08","30.5","24","0.5","12"
"2011-12-03","43","0.14","33","23","","12"
"2011-12-04","45","0.19","39.5","34","","7"
"2011-12-05","34","0","30.5","27","0","7"
"2011-12-06","32","0","24","16","0","7"
"2011-12-07","27","0.01","22.5","18","","7"
"2011-12-08","29","0.06","27","25","0.7","8"
"2011-12-09","33","0.03","28","23","0.4","8"
"2011-12-10","38","","28.5","19","","8"
"2011-12-11","44","0.47","35.5","27","4.1","12"
"2011-12-12","34","0.53","29","24","6.8","17"
"2011-12-13","29","0.01","22","15","0.3","16"
"2011-12-14","20","0.02","16.5","13","0.2","16"
"2011-12-15","37","","27","17","","16"
"2011-12-16","38","0","30","22","0","16"
"2011-12-17","41","0","31.5","22","0","16"
"2011-12-18","45","0.04","39","33","","13"
"2011-12-19","36","0.12","32","28","2.2","15"
"2011-12-20","40","0.09","34.5","29","0.4","15"
"2011-12-21","37","0.02","29","21","0","15"
"2011-12-22","25","0.32","22","19","3.9","17"
"2011-12-23","24","0.09","18","12","1.9","18"
"2011-12-24","14","0.04","10.5","7","1.6","19"
"2011-12-25","20","0.14","10","0","2.1","22"
"2011-12-26","20","0","13","6","0","21"
"2011-12-27","21","0.12","16","11","3.2","23"
"2011-12-28","14","","10.5","7","0.3","22"
"2011-12-29","11","","7.5","4","0.2","21"
"2011-12-30","9","0.09","4.5","0","1.6","22"
"2011-12-31","4","0.01","1.5","-1","0.2","22"
"2012-01-01","0","","-7","-14","","22"
"2012-01-02","3","","-3.5","-10","","22"
"2012-01-03","3","","-3","-9","0","21"
"2012-01-04","9","0","2","-5","0","21"
"2012-01-05","16","0.25","5","-6","3.9","25"
"2012-01-06","16","0.15","6","-4","1.7","26"
"2012-01-07","17","0.08","9","1","3","23"
"2012-01-08","19","0.25","9","-1","5.9","28"
"2012-01-09","8","0","0.5","-7","0","26"
"2012-01-10","21","","13","5","","24"
"2012-01-11","39","0.02","27.5","16","0.2","23"
"2012-01-12","29","0.3","19.5","10","7.7","30"
"2012-01-13","11","0.01","6","1","0.1","30"
"2012-01-14","6","0","-3","-12","0","28"
"2012-01-15","0","0","-5.5","-11","0","27"
"2012-01-16","8","0","-1.5","-11","0","26"
"2012-01-17","7","0","-1.5","-10","0","26"
"2012-01-18","6","0","-3","-12","0","25"
"2012-01-19","3","0","-3.5","-10","0","25"
"2012-01-20","9","0","-1","-11","0","24"
"2012-01-21","13","","6.5","0","","24"
"2012-01-22","14","0.04","11.5","9","0.8","25"
"2012-01-23","19","","14","9","0.2","25"
"2012-01-24","11","0","2.5","-6","0","24"
"2012-01-25","6","0.01","0","-6","0.6","24"
"2012-01-26","2","","-6","-14","","24"
"2012-01-27","-1","0","-7.5","-14","0","24"
"2012-01-28","-3","","-9","-15","","24"
"2012-01-29","0","","-7","-14","","24"
"2012-01-30","12","0.04","4.5","-3","0.8","25"
"2012-01-31","17","0.02","14.5","12","0.3","25"
"2012-02-01","41","0.17","27","13","1.3","26"
"2012-02-02","39","0.05","33","27","0.5","26"
"2012-02-03","28","0.53","22","16","9.1","32"
"2012-02-04","18","0","14","10","0","32"
"2012-02-05","28","0","20","12","0","32"
"2012-02-06","30","0","23.5","17","0","31"
"2012-02-07","27","0","20.5","14","0","31"
"2012-02-08","37","","25","13","","30"
"2012-02-09","42","0","34","26","0","29"
"2012-02-10","37","","30","23","","29"
"2012-02-11","37","","33","29","","28"
"2012-02-12","40","0","34","28","0","27"
"2012-02-13","33","0.23","31.5","30","3.4","31"
"2012-02-14","32","0.04","29","26","0.3","30"
"2012-02-15","35","","30","25","","30"
"2012-02-16","33","0","28","23","0","30"
"2012-02-17","34","","27.5","21","","30"
"2012-02-18","29","0","22","15","0","30"
"2012-02-19","28","0","20.5","13","0","30"
"2012-02-20","33","0","29.5","26","0","29"
"2012-02-21","33","0.08","30.5","28","2","30"
"2012-02-22","35","","32","29","","30"
"2012-02-23","30","0.02","26.5","23","0.6","30"
"2012-02-24","24","0.03","20","16","0.8","30"
"2012-02-25","19","","13","7","","30"
"2012-02-26","25","0.08","21","17","0.7","30"
"2012-02-27","30","0.22","26","22","4","33"
"2012-02-28","22","","18.5","15","0.5","33"
"2012-02-29","20","0.15","13","6","4.6","36"
"2012-03-01","23","","13.5","4","0","36"
"2012-03-02","28","0.03","23","18","0.5","36"
"2012-03-03","26","0.13","21.5","17","3.3","35"
"2012-03-04","23","","13.5","4","","35"
"2012-03-05","16","0.05","8.5","1","1","35"
"2012-03-06","26","0.22","20","14","1.3","36"
"2012-03-07","23","","18.5","14","","34"
"2012-03-08","23","","11.5","0","","34"
"2012-03-09","23","","11.5","0","0.5","35"
"2012-03-10","20","0.01","14.5","9","0.3","35"
"2012-03-11","22","0","16.5","11","0","34"
"2012-03-12","19","0","9.5","0","0","33"
"2012-03-13","25","0","13.5","2","0","33"
"2012-03-14","29","0.15","24.5","20","2.6","35"
"2012-03-15","33","0","24.5","16","0","34"
"2012-03-16","29","0","20","11","0","34"
"2012-03-17","28","0","19","10","0","34"
"2012-03-18","26","0","17","8","0","33"
"2012-03-19","30","","21.5","13","","33"
"2012-03-20","29","0","22","15","0","32"
"2012-03-21","28","0","19","10","0","32"
"2012-03-22","24","0","16.5","9","0","32"
"2012-03-23","26","0","16","6","0","32"
"2012-03-24","37","0","28.5","20","0","31"
"2012-03-25","33","0","24.5","16","0","30"
"2012-03-26","35","0","24","13","0","30"
"2012-03-27","36","0","29.5","23","0","30"
"2012-03-28","44","0","36.5","29","0","29"
"2012-03-29","46","0","38","30","0","27"
"2012-03-30","41","","32.5","24","0","27"
"2012-03-31","43","","38.5","34","0","26"
"2012-04-01","41","","36.5","32","0","25"
"2012-04-02","37","0","30","23","0","24"
"2012-04-03","37","0","29.5","22","0","24"
"2012-04-04","41","0","32","23","0","24"
"2012-04-05","41","0","37","33","0","23"
"2012-04-06","39","0.22","34.5","30","0.8","22"
"2012-04-07","35","0.28","32.5","30","4.3","24"
"2012-04-08","42","0","32.5","23","0","23"
"2012-04-09","41","0","32","23","0","22"
"2012-04-10","43","0","33","23","0","21"
"2012-04-11","46","0","36","26","0","20"
"2012-04-12","43","0","34.5","26","0","19"
"2012-04-13","47","0","38.5","30","0","18"
"2012-04-14","49","0","39","29","0","17"
"2012-04-15","49","0","40.5","32","0","15"
"2012-04-16","49","0","41.5","34","0","14"
"2012-04-17","48","0","42","36","0","12"
"2012-04-18","46","0","40.5","35","0","11"
"2012-04-19","52","0","41.5","31","0","8"
"2012-04-20","51","0","41","31","0","5"
"2012-04-21","50","0","44","38","0","4"
"2012-04-22","50","0","41","32","0","4"
"2012-04-23","50","0","40","30","0","3"
"2012-04-24","50","0","40.5","31","0","2"
"2012-04-25","57","0","43.5","30","0","0"
"2012-04-26","59","0","47","35","0","0"
"2012-04-27","56","0","44","32","0","0"
"2012-04-28","51","0","44","37","0","0"
"2012-04-29","55","0","46","37","0","0"
"2012-04-30","54","0","47","40","0","0"
"2012-05-01","44","0","37.5","31","0","0"
"2012-05-02","41","0","34.5","28","0","0"
"2012-05-03","44","","36.5","29","0","0"
"2012-05-04","50","","41.5","33","0","0"
"2012-05-05","47","","40.5","34","0","0"
"2012-05-06","52","0","44","36","0","0"
"2012-05-07","51","","45.5","40","0","0"
"2012-05-08","55","0","45.5","36","0","0"
"2012-05-09","53","0.01","47","41","0","0"
"2012-05-10","46","","42.5","39","0","0"
"2012-05-11","48","","43.5","39","0","0"
"2012-05-12","48","0","41.5","35","0","0"
"2012-05-13","48","0","42","36","0","0"
"2012-05-14","51","0","43","35","0","0"
"2012-05-15","54","0","44","34","0","0"
"2012-05-16","57","0","44.5","32","0","0"
"2012-05-17","61","0","49","37","0","0"
"2012-05-18","57","0","45","33","0","0"
"2012-05-19","53","","48","43","0","0"
"2012-05-20","53","","48","43","0","0"
"2012-05-21","61","","53","45","0","0"
"2012-05-22","59","","52.5","46","0","0"
"2012-05-23","63","","55.5","48","0","0"
"2012-05-24","54","0.19","51.5","49","0","0"
"2012-05-25","54","0.02","50.5","47","0","0"
"2012-05-26","58","","50.5","43","0","0"
"2012-05-27","50","0.21","47.5","45","0","0"
"2012-05-28","59","0","51","43","0","0"
"2012-05-29","53","","47.5","42","0","0"
"2012-05-30","52","0","48","44","0","0"
"2012-05-31","56","0","48.5","41","0","0"
"2012-06-01","59","0","52","45","0","0"
"2012-06-02","61","","52.5","44","0","0"
"2012-06-03","54","0.1","50.5","47","0","0"
"2012-06-04","54","0.03","47.5","41","0","0"
"2012-06-05","63","0","52","41","0","0"
"2012-06-06","57","0.14","50.5","44","0","0"
"2012-06-07","61","0","52.5","44","0","0"
"2012-06-08","62","","54.5","47","0","0"
"2012-06-09","60","0.01","54.5","49","0","0"
"2012-06-10","62","0","53","44","0","0"
"2012-06-11","61","0.01","55.5","50","0","0"
"2012-06-12","50","0.44","48.5","47","0","0"
"2012-06-13","54","0.18","50","46","0","0"
"2012-06-14","60","","53","46","0","0"
"2012-06-15","61","0.01","54.5","48","0","0"
"2012-06-16","66","0","54.5","43","0","0"
"2012-06-17","69","0.01","60.5","52","0","0"
"2012-06-18","70","0","62","54","0","0"
"2012-06-19","66","0","59.5","53","0","0"
"2012-06-20","60","0","56","52","0","0"
"2012-06-21","70","0","60","50","0","0"
"2012-06-22","73","0","62.5","52","0","0"
"2012-06-23","73","0","62.5","52","0","0"
"2012-06-24","62","0.02","57","52","0","0"
"2012-06-25","57","0.12","54","51","0","0"
"2012-06-26","62","0.07","56","50","0","0"
"2012-06-27","61","0","56","51","0","0"
"2012-06-28","57","0.23","52.5","48","0","0"
"2012-06-29","63","0","55.5","48","0","0"
"2012-06-30","64","0","56","48","0","0"
"2012-07-01","61","0","56.5","52","0","0"
"2012-07-02","59","0.01","56","53","0","0"
"2012-07-03","57","0.04","53","49","0","0"
"2012-07-04","57","0.11","53","49","0","0"
"2012-07-05","56","","52","48","0","0"
"2012-07-06","60","","53","46","0","0"
"2012-07-07","61","","56.5","52","0","0"
"2012-07-08","58","0","54","50","0","0"
"2012-07-09","62","0.19","54.5","47","0","0"
"2012-07-10","62","0.04","54.5","47","0","0"
"2012-07-11","57","","52","47","0","0"
"2012-07-12","55","0.3","52","49","0","0"
"2012-07-13","60","0.1","54.5","49","0","0"
"2012-07-14","62","0.06","56.5","51","0","0"
"2012-07-15","56","0.23","53","50","0","0"
"2012-07-16","61","0.14","55.5","50","0","0"
"2012-07-17","67","0","59","51","0","0"
"2012-07-18","72","0","61","50","0","0"
"2012-07-19","68","0","59","50","0","0"
"2012-07-20","64","","58","52","0","0"
"2012-07-21","62","0.53","59","56","0","0"
"2012-07-22","60","0.1","57","54","0","0"
"2012-07-23","59","0.03","56","53","0","0"
"2012-07-24","64","0","58","52","0","0"
"2012-07-25","67","0","58","49","0","0"
"2012-07-26","68","0","58.5","49","0","0"
"2012-07-27","69","0","59.5","50","0","0"
"2012-07-28","68","0","60","52","0","0"
"2012-07-29","66","","61","56","0","0"
"2012-07-30","59","0.26","55.5","52","0","0"
"2012-07-31","67","0","58","49","0","0"
"2012-08-01","60","0.19","56.5","53","0","0"
"2012-08-02","57","0.19","54","51","0","0"
"2012-08-03","61","","56","51","0","0"
"2012-08-04","57","0.06","54.5","52","0","0"
"2012-08-05","63","0.01","56.5","50","0","0"
"2012-08-06","65","0.01","56.5","48","0","0"
"2012-08-07","67","0","59.5","52","0","0"
"2012-08-08","65","","57.5","50","0","0"
"2012-08-09","69","0","61.5","54","0","0"
"2012-08-10","64","0","59","54","0","0"
"2012-08-11","67","0","60.5","54","0","0"
"2012-08-12","67","0","60.5","54","0","0"
"2012-08-13","66","0","59.5","53","0","0"
"2012-08-14","71","0","60.5","50","0","0"
"2012-08-15","68","","63","58","0","0"
"2012-08-16","64","0.06","58.5","53","0","0"
"2012-08-17","65","","58","51","0","0"
"2012-08-18","62","0.1","54","46","0","0"
"2012-08-19","62","0.01","57.5","53","0","0"
"2012-08-20","58","0.19","54.5","51","0","0"
"2012-08-21","64","0.08","56","48","0","0"
"2012-08-22","65","0","56","47","0","0"
"2012-08-23","61","0.38","55","49","0","0"
"2012-08-24","61","0.02","53","45","0","0"
"2012-08-25","61","0","54","47","0","0"
"2012-08-26","61","0.25","54","47","0","0"
"2012-08-27","66","0.01","58","50","0","0"
"2012-08-28","65","0","54","43","0","0"
"2012-08-29","64","0","53","42","0","0"
"2012-08-30","61","0.16","56.5","52","0","0"
"2012-08-31","55","0.1","51.5","48","0","0"
"2012-09-01","54","0.26","51","48","0","0"
"2012-09-02","57","0.01","53","49","0","0"
"2012-09-03","56","0.01","51.5","47","0","0"
"2012-09-04","60","0.1","54","48","0","0"
"2012-09-05","56","0.25","53","50","0","0"
"2012-09-06","57","0","53","49","0","0"
"2012-09-07","56","","48.5","41","0","0"
"2012-09-08","59","","49","39","0","0"
"2012-09-09","61","0","47.5","34","0","0"
"2012-09-10","56","0","46.5","37","0","0"
"2012-09-11","54","0.05","44","34","0","0"
"2012-09-12","51","0.62","47","43","0","0"
"2012-09-13","57","0","50.5","44","0","0"
"2012-09-14","53","0.2","49","45","0","0"
"2012-09-15","57","0.31","52.5","48","0","0"
"2012-09-16","55","0.62","51","47","0","0"
"2012-09-17","53","0.05","50.5","48","0","0"
"2012-09-18","53","0.01","50.5","48","0","0"
"2012-09-19","58","1.41","51.5","45","0","0"
"2012-09-20","58","1.13","53.5","49","0","0"
"2012-09-21","57","0.12","49.5","42","0","0"
"2012-09-22","64","0.08","56.5","49","0","0"
"2012-09-23","54","0.14","51","48","0","0"
"2012-09-24","54","0.01","50","46","0","0"
"2012-09-25","51","","47.5","44","0","0"
"2012-09-26","52","","47.5","43","0","0"
"2012-09-27","47","0.02","44","41","0","0"
"2012-09-28","44","0.62","39.5","35","","0"
"2012-09-29","46","0.1","38.5","31","0.2","0"
"2012-09-30","47","0","38.5","30","0","0"
"2012-10-01","48","0","37.5","27","0","0"
"2012-10-02","48","","43","38","0","0"
"2012-10-03","46","0.41","42.5","39","0","0"
"2012-10-04","59","","50.5","42","0","0"
"2012-10-05","51","0.74","47.5","44","0","0"
"2012-10-06","51","1","47","43","0","0"
"2012-10-07","49","0.22","46.5","44","0","0"
"2012-10-08","53","","49.5","46","0","0"
"2012-10-09","50","0.05","47.5","45","0","0"
"2012-10-10","51","0","45.5","40","0","0"
"2012-10-11","48","0","39","30","0","0"
"2012-10-12","42","0","34.5","27","0","0"
"2012-10-13","36","0.08","33.5","31","1.5","1"
"2012-10-14","41","0.01","36.5","32","0","0"
"2012-10-15","37","0.06","34","31","0.5","0"
"2012-10-16","33","0.04","29.5","26","0.8","0"
"2012-10-17","39","","32.5","26","","0"
"2012-10-18","35","0","28","21","0","0"
"2012-10-19","38","0","29","20","0","0"
"2012-10-20","41","0","34","27","0","0"
"2012-10-21","34","0","27.5","21","0","0"
"2012-10-22","32","0","23.5","15","0","0"
"2012-10-23","32","0","22","12","0","0"
"2012-10-24","40","0","27.5","15","0","0"
"2012-10-25","36","0","26","16","0","0"
"2012-10-26","31","0","23","15","0","0"
"2012-10-27","32","0","22.5","13","0","0"
"2012-10-28","34","0","25","16","0","0"
"2012-10-29","34","0.01","25.5","17","0.2","0"
"2012-10-30","33","0.01","29.5","26","0.2","0"
"2012-10-31","30","0","24.5","19","0","0"
"2012-11-01","29","0","25","21","0","0"
"2012-11-02","35","0","30","25","0","0"
"2012-11-03","31","0","28","25","0","0"
"2012-11-04","30","0","24","18","0","0"
"2012-11-05","27","0","19.5","12","0","0"
"2012-11-06","27","","20","13","","0"
"2012-11-07","26","0","16","6","0","0"
"2012-11-08","26","0","18","10","0","0"
"2012-11-09","30","0.1","26","22","1","1"
"2012-11-10","33","","29.5","26","","0"
"2012-11-11","34","0","28.5","23","0","0"
"2012-11-12","32","0","25","18","0","0"
"2012-11-13","26","0.08","21.5","17","0.9","1"
"2012-11-14","28","0.05","26","24","1.4","2"
"2012-11-15","29","0","27","25","0","2"
"2012-11-16","28","0","20","12","0","2"
"2012-11-17","20","0","17","14","0","2"
"2012-11-18","22","0","18.5","15","0","2"
"2012-11-19","20","0","15.5","11","0","2"
"2012-11-20","14","0","9.5","5","0","2"
"2012-11-21","14","0","7.5","1","0","2"
"2012-11-22","19","0","12","5","0","2"
"2012-11-23","25","0","17","9","0","2"
"2012-11-24","18","0","11","4","0","2"
"2012-11-25","16","0","10.5","5","0","2"
"2012-11-26","17","0","9.5","2","0","2"
"2012-11-27","14","0","7.5","1","0","2"
"2012-11-28","18","0","10","2","0","2"
"2012-11-29","23","0","12.5","2","0","2"
"2012-11-30","25","0","13.5","2","0","2"
"2012-12-01","23","0","13.5","4","0","2"
"2012-12-02","19","0","9.5","0","0","2"
"2012-12-03","16","0","12.5","9","0","2"
"2012-12-04","9","0","2.5","-4","0","2"
"2012-12-05","6","0","-2","-10","0","2"
"2012-12-06","9","0","3.5","-2","0","2"
"2012-12-07","7","0","1.5","-4","0","2"
"2012-12-08","22","0.3","14","6","3.8","6"
"2012-12-09","28","0.09","25","22","1.3","7"
"2012-12-10","29","0.07","28","27","1.6","8"
"2012-12-11","30","0.06","25","20","0.8","8"
"2012-12-12","34","0.95","28","22","8.6","15"
"2012-12-13","34","0","29","24","0","14"
"2012-12-14","26","0","22","18","0","14"
"2012-12-15","18","0","7.5","-3","0","14"
"2012-12-16","10","0","3","-4","0","14"
"2012-12-17","6","","-3","-12","0","14"
"2012-12-18","12","0","2.5","-7","0","14"
"2012-12-19","18","0","9.5","1","0","13"
"2012-12-20","18","0","15","12","0","12"
"2012-12-21","14","0","4.5","-5","0","12"
"2012-12-22","14","","3.5","-7","0","12"
"2012-12-23","10","0","7.5","5","0","12"
"2012-12-24","25","","16","7","","12"
"2012-12-25","34","0.18","28","22","2.1","13"
"2012-12-26","28","0","22","16","0","13"
"2012-12-27","29","0","23.5","18","0","13"
"2012-12-28","29","0","25.5","22","0","12"
"2012-12-29","45","","36","27","0","12"
"2012-12-30","43","","37.5","32","0","11"
"2012-12-31","42","","35.5","29","","10"
"2013-01-01","39","","35.5","32","","9"
"2013-01-02","40","0","34.5","29","0","9"
"2013-01-03","33","0","30.5","28","0","9"
"2013-01-04","34","","29.5","25","0.1","9"
"2013-01-05","32","","29","26","","9"
"2013-01-06","30","","27","24","","9"
"2013-01-07","30","0","27","24","0","9"
"2013-01-08","28","0","21.5","15","0","9"
"2013-01-09","18","","15","12","","9"
"2013-01-10","25","0.04","22","19","0.6","9"
"2013-01-11","28","","25","22","","9"
"2013-01-12","35","","30","25","","9"
"2013-01-13","43","0.4","38","33","0","9"
"2013-01-14","44","0.02","39","34","0","8"
"2013-01-15","35","0","28","21","0","8"
"2013-01-16","23","0.17","21.5","20","3","9"
"2013-01-17","21","0.1","17.5","14","5.2","13"
"2013-01-18","15","0","10","5","0","12"
"2013-01-19","25","","19.5","14","","12"
"2013-01-20","29","0.03","26","23","1","12"
"2013-01-21","30","0","25.5","21","0","12"
"2013-01-22","32","","30.5","29","","12"
"2013-01-23","33","0","28.5","24","0","11"
"2013-01-24","40","0","31","22","0","11"
"2013-01-25","37","0.05","21.5","6","0.4","11"
"2013-01-26","7","0","0.5","-6","0","11"
"2013-01-27","2","0","-2.5","-7","0","10"
"2013-01-28","9","0.07","0","-9","1.6","11"
"2013-01-29","14","0.05","9.5","5","1.1","12"
"2013-01-30","28","0.13","21","14","1.3","12"
"2013-01-31","33","0.04","30","27","0.4","12"
"2013-02-01","31","0","27.5","24","0","12"
"2013-02-02","32","0.01","28.5","25","0.2","12"
"2013-02-03","37","0.01","32.5","28","","12"
"2013-02-04","40","","33.5","27","0","12"
"2013-02-05","32","0","26","20","0","12"
"2013-02-06","28","0.22","25.5","23","2.3","12"
"2013-02-07","28","0.05","26","24","0.9","12"
"2013-02-08","32","0.02","29","26","0.3","12"
"2013-02-09","37","","32","27","","12"
"2013-02-10","40","0.18","35","30","2","14"
"2013-02-11","32","0.07","23.5","15","1.4","16"
"2013-02-12","27","","23.5","20","0.1","16"
"2013-02-13","31","","27.5","24","","16"
"2013-02-14","41","0.05","34","27","0.8","16"
"2013-02-15","32","0.22","28.5","25","3.1","18"
"2013-02-16","26","0.02","18","10","0.4","18"
"2013-02-17","25","0.08","21.5","18","1.2","18"
"2013-02-18","20","0","15","10","0","18"
"2013-02-19","18","0.07","11.5","5","0.9","18"
"2013-02-20","27","","22","17","0.1","18"
"2013-02-21","28","0.05","24","20","0.6","18"
"2013-02-22","27","0.05","20.5","14","1.5","19"
"2013-02-23","25","0.02","19.5","14","0.7","19"
"2013-02-24","30","0","25.5","21","0","19"
"2013-02-25","31","0","24","17","0","19"
"2013-02-26","39","0","32.5","26","0","18"
"2013-02-27","34","0","28.5","23","0","18"
"2013-02-28","37","","31.5","26","0","18"
"2013-03-01","34","0.02","29","24","0.5","18"
"2013-03-02","32","0","28","24","0","18"
"2013-03-03","31","0","25","19","0","17"
"2013-03-04","36","0","29.5","23","0","17"
"2013-03-05","37","0","28","19","0","17"
"2013-03-06","41","0","31.5","22","0","17"
"2013-03-07","44","","35","26","","16"
"2013-03-08","44","0","36.5","29","0","15"
"2013-03-09","40","","37","34","","14"
"2013-03-10","34","0.21","32","30","4.7","18"
"2013-03-11","35","","28","21","0.1","18"
"2013-03-12","32","0","27","22","0","18"
"2013-03-13","30","0","20.5","11","0","18"
"2013-03-14","25","","19.5","14","","18"
"2013-03-15","31","0","23","15","0","18"
"2013-03-16","29","0","21","13","0","18"
"2013-03-17","29","0","18","7","0","18"
